Suelos Forestales;Provincia;Parcela;pH;CE (dSm^-1);Factor humedad;FHR_final;CIC (Meq/100g);Presencia  Carbonatos (%);Ca Final (meq/100g);Ca Final (mg/kg);Mg Final (meq/100g);Mg Final (mg/kg);k Final Calibrados (meq/100g);k Final (mg/kg);Na Final Calibrados (meq/100g);Na Final (mg/kg);RAS;CTC (Meq/100g);CIC (Meq/100g);Mn (mg/kg suelo);Zn (mg/kg);Cu Final (mg/kg);Fe Final (mg/kg);P corregido fH;%C;%MO;%Arcilla;%Limo;%Arena;(N) %;(C) %
26;Sevilla;410162;6,44;0,0835;0,973;2,722;24,383;N;8,56;1712,29;2,79;338,98;0,25;97,59;1,16;266,05;0,49;12,76;24,38;109,71;0,51;6,90;17,75;3,31;2,39;4,12;5,86;22,93;71,21;0,201;2,944
22;Sevilla;410273;5,66;0,0313;0,982;1,867;20,726;N;3,15;629,48;1,45;175,89;0,31;122,30;1,09;249,48;0,72;5,99;20,73;247,48;0,61;6,85;23,14;2,26;1,42;2,45;12,08;33,74;54,18;0,080;1,254
31;Sevilla;410273;5,97;0,1044;0,975;2,555;25,595;N;7,39;1478,93;1,79;217,42;0,36;139,19;1,09;251,16;0,51;10,63;25,60;248,82;1,83;9,37;53,00;3,36;1,35;2,32;6,40;28,99;64,61;0,274;4,811
10;Sevilla;410283;6,86;0,0882;0,979;2,170;21,064;N;8,56;1711,90;1,41;171,64;0,33;127,46;1,03;237,82;0,46;11,33;21,06;107,30;0,31;2,62;15,20;4,17;1,62;2,79;23,90;26,09;50,00;0,134;1,764
38;Sevilla;410283;7,24;0,1165;0,977;2,310;23,592;N;8,77;1755,18;1,38;167,80;0,41;161,29;1,29;297,11;0,57;11,86;23,59;126,08;0,73;3,27;26,03;14,03;2,30;3,95;13,68;31,09;55,23;0,162;2,444
36;Sevilla;410296;5,07;0,0419;0,932;7,270;24,728;N;4,38;875,53;3,83;464,85;0,33;130,47;0,99;226,93;0,49;9,52;24,73;132,59;1,80;3,43;127,01;3,51;2,13;3,66;13,02;35,41;51,56;0,109;1,519
54;Sevilla;410296;5,91;0,0375;0,932;7,240;26,456;N;6,11;1222,63;5,21;633,42;0,29;111,96;1,58;363,44;0,66;13,19;26,46;76,78;0,84;3,43;43,58;7,48;1,39;2,39;15,06;35,67;49,27;0,102;1,338
23;Toledo;450101;5,32;0,01991;0,993;0,744;10,659;N;0,98;196,34;0,60;73,21;0,18;72,05;1,18;271,17;1,33;2,95;10,66;21,79;0,12;1,61;16,28;2,70;0,83;1,43;1,82;11,09;87,09;0,060;0,803
44;Toledo;450101;5,68;0,0262;0,994;0,649;5,461;N;1,20;241,02;0,76;91,93;0,21;81,43;0,93;212,92;0,94;3,10;5,46;21,61;0,09;2,25;17,23;11,32;0,80;1,37;0,26;8,22;91,53;0,081;0,880
12;Toledo;450176;5,57;0,02;0,968;3,350;9,112;N;1,62;324,48;1,40;170,18;0,21;82,00;1,07;246,84;0,87;4,31;9,11;26,62;0,16;1,32;28,11;10,66;0,60;1,04;6,13;16,36;77,51;0,050;0,447
52;Toledo;450176;5,35;0,0226;0,993;0,710;6,557;N;1,75;350,35;1,37;166,50;0,23;89,37;1,92;442,09;1,54;5,27;6,56;22,72;0,00;2,42;12,57;13,87;0,56;0,96;6,28;4,46;89,26;0,213;2,814
57;Toledo;450203;5,25;0,0468;0,984;1,657;18,338;N;1,20;239,37;0,87;105,72;0,35;136,38;1,45;332,20;1,42;3,86;18,34;30,50;0,10;2,60;36,76;78,69;1,59;2,73;2,94;15,20;81,85;0,113;1,847
58;Toledo;450203;5,36;0,0383;0,986;1,399;16,271;N;1,92;384,45;1,25;152,10;0,40;156,67;1,40;322,13;1,11;4,98;16,27;21,50;0,67;2,60;62,79;138,24;1,83;3,14;4,05;11,12;84,83;0,208;3,211
28;Toledo;450265;5,7;0,0257;0,987;1,285;13,031;N;1,99;397,49;0,96;116,14;0,24;93,05;1,11;254,19;0,91;4,29;13,03;18,91;0,43;1,94;23,66;19,58;1,64;2,81;2,86;10,98;86,16;0,100;1,719
32;Toledo;450265;5,22;0,0209;0,989;1,129;14,837;N;1,27;254,94;0,72;86,97;0,23;88,16;0,90;207,80;0,91;3,12;14,84;14,85;0,16;1,94;39,97;17,29;1,39;2,38;4,00;13,41;82,59;0,084;1,858
15;Toledo;451383;6,72;0,1368;0,988;1,172;17,385;N;8,07;1615,11;1,94;236,07;0,24;94,53;1,10;253,91;0,49;11,36;17,38;23,88;1,13;1,62;25,90;3,79;2,26;3,88;5,96;23,90;70,13;0,163;2,521
43;Toledo;451383;6,16;0,0497;0,983;1,721;15,095;N;4,25;849,83;1,57;190,56;0,24;95,05;1,30;298,47;0,76;7,36;15,10;28,08;0,37;2,28;20,67;5,69;1,57;2,69;7,44;9,03;83,53;0,109;1,755
48;Zamora;490125;5,4;0,0339;0,985;1,511;14,870;N;1,97;395,00;1,40;169,86;0,25;99,62;1,11;254,76;0,85;4,74;14,87;82,80;0,34;2,44;46,29;10,25;2,04;3,51;3,29;26,14;70,57;0,130;1,967
50;Zamora;490125;5,13;0,0339;0,984;1,637;8,961;N;2,22;444,17;1,76;214,11;0,28;109,29;1,50;344,46;1,06;5,76;8,96;94,87;0,41;2,60;45,70;11,10;1,53;2,63;9,53;22,55;67,91;0,131;2,295
19;Zamora;490299;4,77;0,0178;0,943;6,010;7,088;N;0,32;64,17;0,44;53,71;0,18;69,17;1,13;259,62;1,83;2,07;7,09;65,25;0,18;1,53;34,35;5,61;1,17;2,02;3,30;12,93;83,77;0,078;1,496
33;Zamora;490299;5,08;0,01567;0,957;4,510;4,314;N;0,58;115,40;0,42;50,86;0,17;64,92;1,02;233,77;1,44;2,18;4,31;62,62;0,07;2,01;18,90;2,82;1,25;2,16;4,19;13,59;82,23;0,045;1,126
18;Zamora;490300;5,11;0,0299;0,983;1,769;15,576;N;1,09;217,30;0,84;102,45;0,30;115,81;1,11;255,41;1,13;3,34;15,58;92,41;0,35;2,12;79,95;3,04;2,11;3,63;7,02;24,44;68,54;0,145;1,948
41;Zamora;490300;5,16;0,0261;0,984;1,623;15,184;N;1,93;385,30;1,54;187,66;0,28;110,87;3,23;741,96;2,45;6,98;15,18;114,63;0,18;2,93;62,44;14,18;2,01;3,45;7,63;23,46;68,91;0,191;2,650
56;Zamora;490525;5,25;0,022;0,988;1,240;12,908;N;0,44;87,54;0,73;89,09;0,17;67,64;1,33;306,26;1,74;2,68;12,91;44,63;0,08;2,59;73,54;22,37;2,10;3,61;4,76;16,92;78,33;0,138;2,608
47;Zamora;490813;5,05;0,0242;0,990;1,020;10,687;N;0,41;81,30;0,60;72,73;0,30;116,53;1,18;271,90;1,67;2,49;10,69;37,61;0,19;2,42;40,08;12,12;0,71;1,22;3,04;9,95;87,01;0,084;1,149
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
