COD_SPP_IFN3	Sp	Correspondencia	Observaciones	carbono	a	b	R2	SEE	SEE2	CF	ea	CFA	ar	br	R2r	SEEr	SEE2r	CFr	ear	CFAr
046	Quercus suber	SPP-M		47.2	-3.36627	2.60685	0.914	0.416653	0.086799861	1.090678371	0.03451815	0.0376482	-2.81593	2.07774	0.924	0.356549	0.063563595	1.065627252	0.059849033	0.063776761
047	Quercus canariensis	SPP-M		47.5	-1.40683	2.111	0.901	0.351714	0.061851369	1.063804219	0.244918445	0.260545275	-4.1867	2.58308	0.936	0.375852	0.070632363	1.07318661	0.01519635	0.01630852
048	Quercus rubra	G-M	Media Gen. Quercus	48.07142857	-2.45592	2.46509	0.957285714	0.256631429	0.036819846	1.03784667	0.10104225	0.105085694	-2.601077286	2.175731429	0.890714286	0.375013429	0.07294804	1.076065057	0.122623811	0.135248795
049	Otros quercus	G-M	Media Gen. Quercus	48.07142857	-2.45592	2.46509	0.957285714	0.256631429	0.036819846	1.03784667	0.10104225	0.105085694	-2.601077286	2.175731429	0.890714286	0.375013429	0.07294804	1.076065057	0.122623811	0.135248795
051	Populus alba	G-E	Populos x euramericana	48.3	-2.94077	2.56677	0.996	0.076417	0.002919779	1.002924046	0.052825038	0.052979501	-5.00204	2.82049	0.955	0.263722	0.034774647	1.035386355	0.006724216	0.006962161
052	Populus tremula	G-E	Populos x euramericana	48.3	-2.94077	2.56677	0.996	0.076417	0.002919779	1.002924046	0.052825038	0.052979501	-5.00204	2.82049	0.955	0.263722	0.034774647	1.035386355	0.006724216	0.006962161
054	Alnus glutinosa	SPP-M		50	-0.824827	1.9009	0.926	0.297033	0.044114302	1.045101805	0.438310814	0.458079422	-2.09999	2.16573	0.973	0.188501	0.017766314	1.017925073	0.122457653	0.124652715
055	Fraxinus angustifolia	G-E	Fraxinus spp.	47.8	-1.47166	2.21865	0.963	0.23677	0.028030016	1.028426554	0.229544125	0.236069274	-1.02234	1.98752	0.936	0.312772	0.048913162	1.050129156	0.359752134	0.377786205
057	Salix spp.	F-G-M	Media Fam. Salicaceae (Gen. Populus)	48.3	-2.94077	2.56677	0.996	0.076417	0.002919779	1.002924046	0.052825038	0.052979501	-5.00204	2.82049	0.955	0.263722	0.034774647	1.035386355	0.006724216	0.006962161
058	Populus nigra	G-E	Populos x euramericana	48.3	-2.94077	2.56677	0.996	0.076417	0.002919779	1.002924046	0.052825038	0.052979501	-5.00204	2.82049	0.955	0.263722	0.034774647	1.035386355	0.006724216	0.006962161
061	Eucalyptus globulus	G-E	Eucalyptus spp.	47.5	-1.33002	2.19404	0.98	0.15785	0.012458311	1.012536239	0.264471972	0.267787456								
062	Eucalyptus camaldulensis	G-E	Eucalyptus spp.	47.5	-1.33002	2.19404	0.98	0.15785	0.012458311	1.012536239	0.264471972	0.267787456								
063	Otros eucaliptos	G-E	Eucalyptus spp.	47.5	-1.33002	2.19404	0.98	0.15785	0.012458311	1.012536239	0.264471972	0.267787456								
064	Eucalyptus nitens	G-E	Eucalyptus spp.	47.5	-1.33002	2.19404	0.98	0.15785	0.012458311	1.012536239	0.264471972	0.267787456								
066	Olea europaea	SPP-M		50	-0.943709	1.94124	0.927	0.243446	0.029632977	1.030076403	0.38918168	0.400886865	-2.33764	2.11152	0.898	0.341218	0.058214862	1.059942712	0.09655524	0.102343023
067	Ceratonia siliqua	SPP-M		50	-1.51118	2.16178	0.858	0.318842	0.05083011	1.05214413	0.220649458	0.232155032	-1.03055	1.99274	0.861	0.267455	0.035766089	1.036413389	0.356810661	0.369803346
071	Fagus sylvatica	SPP-M		48.6	-1.84548	2.3706	0.982	0.171521	0.014709727	1.014818447	0.157949487	0.160290053	1.7224	1.25755	0.574	0.459735	0.105678135	1.111464078	5.597947429	6.221917476
072	Castanea sativa	SPP-M		48.4	-1.70831	2.21544	0.956	0.223169	0.024902201	1.025214851	0.181171714	0.185739932	-3.97491	2.83892	0.988	0.142565	0.01016239	1.010214202	0.018780992	0.018972825
073	Betula spp.	G-M		48.5	-1.60855	2.26855	0.981	0.124949	0.007806126	1.007836674	0.200177661	0.201746388	-2.41805	2.01124	0.775	0.40297	0.08119241	1.084579561	0.089095184	0.096630815
074	Corylus avellana	F-M	Media Fam. Betulaceae	49	-1.347309	2.146	0.962666667	0.182310333	0.019908851	1.020258384	0.279555379	0.287190733	-2.31203	2.062736667	0.841	0.331480333	0.060050378	1.062361398	0.100216007	0.105971449
081	Myrica faya	SPP-M		47.3	-1.17881	2.18018	0.988	0.208418	0.021719031	1.021956606	0.307644618	0.31439945								
082	Ilex canariensis	SPP-M		50	-0.637183	1.96456	0.98	0.226602	0.025674233	1.026006655	0.528779901	0.542531697								
083	Erica arborea	SPP-M		50	-0.949661	2.00644	0.963	0.316307	0.050025059	1.051297441	0.386872151	0.406717702								
089	Otras laurisilvas	G-M		48	-1.36216	2.2664	0.999	0.021902	0.000239849	1.000239878	0.256106988	0.256168422	-1.38356	2.05614	0.999	0.037231	0.000693074	1.000693314	0.250684526	0.250858329
092	Robinia pseudacacia	F (SPP)-M	Media Fam. Leguminosae (Ceratonia siliqua)	50	-1.51118	2.16178	0.858	0.318842	0.05083011	1.05214413	0.220649458	0.232155032	-1.03055	1.99274	0.861	0.267455	0.035766089	1.036413389	0.356810661	0.369803346
099	Otras frondosas	G-M		50	-1.87511	2.29843	0.999	0.014718	0.00010831	1.000108316	0.153338099	0.153354708	-1.38199	1.96764	0.998	0.063674	0.002027189	1.002029245	0.25107841	0.251587909
207	Acacia melanoxylon	F (SPP)-M	Media Fam. Leguminosae (Ceratonia siliqua)	50	-1.51118	2.16178	0.858	0.318842	0.05083011	1.05214413	0.220649458	0.232155032	-1.03055	1.99274	0.861	0.267455	0.035766089	1.036413389	0.356810661	0.369803346
217	Cedrus deodara	F-M	Media Fam. Pinaceae	50.48	-2.470387	2.426308	0.9735	0.1917383	0.019494998	1.019731361	0.090856825	0.092789209	-3.920137778	2.45698	0.955777778	0.286413556	0.045164142	1.046690514	0.02343718	0.024612192
